frame,potholes,critical
1,4,True
2,4,True
3,4,True
4,5,True
5,4,True
6,3,True
7,4,True
8,4,True
9,5,True
10,4,True
11,4,True
12,3,True
13,3,True
14,3,True
15,3,True
16,3,True
17,3,True
18,3,True
19,4,True
20,3,True
21,3,True
22,4,True
23,4,True
24,4,True
25,4,True
26,3,True
